unit_index,selected,characters,event_count,A,E,I,O,U,original_record_or_text
23,0,383,15,0.672976059304,0.3955570536,0.206339502492,0.501351254696,-0.294562143845,"{""blur_score"":0.10274,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":1.7e-05,""edge_density"":0.102375,""foreground_ratio"":0.042329,""frame_difference"":8e-06,""frame_id"":22,""luma_std"":0.681744,""mean_hue"":0.236152,""mean_luma"":0.753012,""mean_saturation"":0.148501,""mean_value"":0.788798,""motion_energy"":0.0,""scene_cut_score"":0.000192,""texture_entropy"":0.565215,""timestamp_ms"":1100}"
24,0,396,15,0.637740073254,0.326581716232,0.004306696117,0.676479488268,-0.0649370816983,"{""blur_score"":0.10274,""change_center_x"":0.028169,""change_center_y"":0.97479,""color_shift"":4.7e-05,""edge_density"":0.102298,""foreground_ratio"":0.042407,""frame_difference"":1.5e-05,""frame_id"":23,""luma_std"":0.68172,""mean_hue"":0.236139,""mean_luma"":0.753009,""mean_saturation"":0.148502,""mean_value"":0.788803,""motion_energy"":3.9e-05,""scene_cut_score"":0.000406,""texture_entropy"":0.56567,""timestamp_ms"":1150}"
25,1,399,15,0.765102554498,0.363534807086,0.267978865538,0.322698033766,-0.473794047915,"{""blur_score"":0.10278,""change_center_x"":0.8444,""change_center_y"":0.108043,""color_shift"":0.000131,""edge_density"":0.102259,""foreground_ratio"":0.042523,""frame_difference"":6.4e-05,""frame_id"":24,""luma_std"":0.681582,""mean_hue"":0.236091,""mean_luma"":0.753026,""mean_saturation"":0.148491,""mean_value"":0.788811,""motion_energy"":0.000273,""scene_cut_score"":0.000696,""texture_entropy"":0.565715,""timestamp_ms"":1200}"
26,0,383,15,0.673221290159,0.395446495432,0.206245368049,0.501524892258,-0.294725296517,"{""blur_score"":0.102775,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":5.6e-05,""edge_density"":0.10222,""foreground_ratio"":0.042523,""frame_difference"":1.7e-05,""frame_id"":25,""luma_std"":0.681589,""mean_hue"":0.236089,""mean_luma"":0.753034,""mean_saturation"":0.148521,""mean_value"":0.78883,""motion_energy"":0.0,""scene_cut_score"":0.000313,""texture_entropy"":0.56574,""timestamp_ms"":1250}"
27,0,400,15,0.766884652624,0.362278936983,0.267659131026,0.320254193452,-0.475616598962,"{""blur_score"":0.102631,""change_center_x"":0.844288,""change_center_y"":0.103641,""color_shift"":6.2e-05,""edge_density"":0.102142,""foreground_ratio"":0.042523,""frame_difference"":4.9e-05,""frame_id"":26,""luma_std"":0.681613,""mean_hue"":0.236115,""mean_luma"":0.753033,""mean_saturation"":0.148545,""mean_value"":0.788831,""motion_energy"":0.000234,""scene_cut_score"":0.000605,""texture_entropy"":0.56541,""timestamp_ms"":1300}"
28,0,399,15,0.766804918438,0.362358944652,0.267806949817,0.320572219695,-0.475447228314,"{""blur_score"":0.102665,""change_center_x"":0.844644,""change_center_y"":0.103896,""color_shift"":0.0001,""edge_density"":0.102103,""foreground_ratio"":0.042484,""frame_difference"":7.5e-05,""frame_id"":27,""luma_std"":0.681609,""mean_hue"":0.236058,""mean_luma"":0.753034,""mean_saturation"":0.148583,""mean_value"":0.788837,""motion_energy"":0.000428,""scene_cut_score"":0.00069,""texture_entropy"":0.565685,""timestamp_ms"":1350}"
29,0,386,15,0.673357265015,0.395419261564,0.206402196308,0.501323645744,-0.294754743425,"{""blur_score"":0.102677,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":3.2e-05,""edge_density"":0.102103,""foreground_ratio"":0.042484,""frame_difference"":1.2e-05,""frame_id"":28,""luma_std"":0.681613,""mean_hue"":0.236059,""mean_luma"":0.753026,""mean_saturation"":0.148575,""mean_value"":0.788824,""motion_energy"":0.0,""scene_cut_score"":0.000126,""texture_entropy"":0.565732,""timestamp_ms"":1400}"
30,0,385,15,0.673396771937,0.395425496796,0.206403244473,0.501351740309,-0.294778210686,"{""blur_score"":0.102669,""change_center_x"":0.5,""change_center_y"":0.5,""color_shift"":2.9e-05,""edge_density"":0.102103,""foreground_ratio"":0.042484,""frame_difference"":1.4e-05,""frame_id"":29,""luma_std"":0.681605,""mean_hue"":0.236041,""mean_luma"":0.753036,""mean_saturation"":0.148584,""mean_value"":0.78884,""motion_energy"":0.0,""scene_cut_score"":0.000125,""texture_entropy"":0.565847,""timestamp_ms"":1450}"
31,0,397,15,0.765852936783,0.363004813386,0.267959471786,0.321754673021,-0.474293002988,"{""blur_score"":0.102675,""change_center_x"":0.844027,""change_center_y"":0.106443,""color_shift"":6.3e-05,""edge_density"":0.102064,""foreground_ratio"":0.042445,""frame_difference"":7e-05,""frame_id"":30,""luma_std"":0.681564,""mean_hue"":0.236065,""mean_luma"":0.753041,""mean_saturation"":0.148549,""mean_value"":0.788842,""motion_energy"":0.00035,""scene_cut_score"":0.000593,""texture_entropy"":0.56545,""timestamp_ms"":1500}"
32,0,394,15,0.768263804779,0.360959382004,0.266580131939,0.318932807951,-0.476421302224,"{""blur_score"":0.10256,""change_center_x"":0.840376,""change_center_y"":0.10084,""color_shift"":7e-05,""edge_density"":0.102103,""foreground_ratio"":0.042523,""frame_difference"":3.5e-05,""frame_id"":31,""luma_std"":0.681535,""mean_hue"":0.23608,""mean_luma"":0.753042,""mean_saturation"":0.148562,""mean_value"":0.788851,""motion_energy"":7.8e-05,""scene_cut_score"":0.00043,""texture_entropy"":0.565854,""timestamp_ms"":1550}"
